,prey_population_limit,collision_distance,prey_minimum,prey_maximum,predator_minimum,predator_maximum
0,50,1,253,300,1,100
0,50,1,250,300,1,100
0,50,1,248,300,1,100
0,50,1,248,300,1,100
0,50,1,250,300,1,100
0,50,1,242,300,1,100
0,50,1,239,300,1,100
0,50,1,253,300,1,100
0,50,1,248,300,1,100
0,50,1,258,300,1,100
0,50,1,262,300,1,100
0,50,1,256,300,1,100
0,50,1,253,300,1,100
0,50,1,247,300,1,100
0,50,1,256,300,1,100
0,50,1,256,300,1,100
0,50,1,243,300,1,100
0,50,1,242,300,1,100
0,50,1,251,300,1,100
0,50,1,237,300,1,100
0,50,1,239,300,1,100
0,50,1,233,300,1,100
0,50,1,233,300,1,100
0,50,1,233,300,1,100
0,50,1,265,300,1,100
0,50,1,242,300,1,100
0,50,1,246,300,1,100
0,50,1,240,300,1,100
0,50,1,241,300,1,100
0,50,1,236,300,1,100
0,60,1,242,300,1,100
0,60,1,261,300,1,100
0,60,1,240,300,1,100
0,60,1,262,300,1,100
0,60,1,250,300,1,100
0,60,1,254,300,1,100
0,60,1,256,300,1,100
0,60,1,230,300,1,100
0,60,1,254,300,1,100
0,60,1,256,300,1,100
0,60,1,263,300,1,100
0,60,1,251,300,1,100
0,60,1,264,300,1,100
0,60,1,231,300,1,100
0,60,1,228,300,1,100
0,60,1,247,300,1,100
0,60,1,251,300,1,100
0,60,1,249,300,1,100
0,60,1,248,300,1,100
0,60,1,239,300,1,100
0,60,1,240,300,1,100
0,60,1,248,300,1,100
0,60,1,250,300,1,100
0,60,1,248,300,1,100
1,60,1,223,300,2,100
0,60,1,235,300,1,100
0,60,1,232,300,1,100
0,60,1,245,300,1,100
0,60,1,235,300,1,100
0,60,1,239,300,1,100
0,70,1,243,300,1,100
0,70,1,236,300,1,100
0,70,1,251,300,1,100
0,70,1,239,300,1,100
0,70,1,237,300,1,100
1,70,1,239,300,2,100
0,70,1,257,300,1,100
0,70,1,245,300,1,100
0,70,1,239,300,1,100
0,70,1,262,300,1,100
0,70,1,241,300,1,100
0,70,1,254,300,1,100
0,70,1,233,300,1,100
1,70,1,245,300,2,100
0,70,1,236,300,1,100
0,70,1,260,300,1,100
0,70,1,262,300,1,100
0,70,1,262,300,1,100
0,70,1,245,300,1,100
0,70,1,249,300,1,100
0,70,1,226,300,1,100
0,70,1,251,300,1,100
0,70,1,241,300,1,100
0,70,1,249,300,1,100
0,70,1,231,300,1,100
0,70,1,251,300,1,100
0,70,1,241,300,1,100
0,70,1,242,300,1,100
0,70,1,253,300,1,100
0,70,1,237,300,1,100
0,80,1,250,300,1,100
0,80,1,249,300,1,100
0,80,1,263,300,1,100
0,80,1,251,300,1,100
0,80,1,245,300,1,100
0,80,1,262,300,1,100
0,80,1,247,300,1,100
0,80,1,252,300,1,100
0,80,1,259,300,1,100
0,80,1,250,300,1,100
0,80,1,250,300,1,100
0,80,1,238,300,1,100
0,80,1,247,300,1,100
0,80,1,244,300,1,100
0,80,1,248,300,1,100
0,80,1,256,300,1,100
0,80,1,245,300,1,100
0,80,1,243,300,1,100
0,80,1,243,300,1,100
0,80,1,263,300,1,100
0,80,1,251,300,1,100
0,80,1,242,300,1,100
0,80,1,242,300,1,100
0,80,1,243,300,1,100
0,80,1,223,300,1,100
0,80,1,245,300,1,100
0,80,1,230,300,1,100
0,80,1,240,300,1,100
