predator_init_pop,prey_minimum,predator_minimum,,,,,
10,1,100,,,,,
10,1,84,,,,,
10,1,70,,,,,collision_distance
10,1,32,,,,,8
10,4,100,,,,,predator_dispersal
10,1,97,,,,,16
10,1,89,,,,,prey_dispersal
10,1,93,,,,,8
10,1,66,,,,,
10,1,35,,,,,
10,1,42,,,,,
10,1,36,,,,,
10,1,51,,,,,
10,2,64,,,,,
10,2,48,,,,,
10,1,34,,,,,
10,1,25,,,,,
10,1,26,,,,,
10,2,31,,,,,
10,6,50,,,,,
10,3,31,,,,,
10,7,52,,,,,
10,11,37,,,,,
10,6,44,,,,,
10,3,44,,,,,
10,1,26,,,,,
10,1,21,,,,,
10,9,35,,,,,
10,8,34,,,,,
10,1,33,,,,,
10,11,47,,,,,
10,4,39,,,,,
10,5,43,,,,,
10,15,55,,,,,
10,6,48,,,,,
10,6,36,,,,,
10,2,47,,,,,
10,6,50,,,,,
10,8,47,,,,,
10,11,44,,,,,
20,1,95,,,,,
20,1,82,,,,,
20,1,95,,,,,
20,1,69,,,,,
20,1,61,,,,,
20,1,45,,,,,
20,1,43,,,,,
20,1,47,,,,,
20,2,36,,,,,
20,1,27,,,,,
20,2,46,,,,,
20,1,52,,,,,
20,1,51,,,,,
20,5,40,,,,,
20,2,34,,,,,
20,2,39,,,,,
20,5,53,,,,,
20,6,50,,,,,
20,6,46,,,,,
20,12,37,,,,,
20,3,36,,,,,
20,1,49,,,,,
20,17,57,,,,,
20,1,32,,,,,
20,4,34,,,,,
20,2,41,,,,,
20,6,55,,,,,
20,3,26,,,,,
20,1,22,,,,,
20,1,23,,,,,
20,2,35,,,,,
20,7,50,,,,,
20,1,30,,,,,
20,5,42,,,,,
20,7,37,,,,,
20,6,53,,,,,
20,3,22,,,,,
20,6,33,,,,,
20,4,23,,,,,
20,1,36,,,,,
30,1,72,,,,,
30,2,49,,,,,
30,1,100,,,,,
30,1,87,,,,,
30,2,97,,,,,
30,1,75,,,,,
30,1,28,,,,,
30,1,36,,,,,
