parameter_value,prey_minimum,predator_minimum
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
1,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
2,300,1
3,300,45
3,300,50
3,300,44
3,300,42
3,300,50
3,300,50
3,300,50
3,300,50
3,300,46
3,300,45
3,300,42
3,300,47
3,300,47
3,300,50
3,300,47
3,300,46
3,300,44
3,300,49
3,300,43
3,300,46
3,300,45
3,300,50
3,300,50
3,300,50
3,300,50
3,300,49
3,300,46
3,300,49
3,300,47
3,300,48
3,300,49
3,300,50
3,300,44
3,300,46
3,300,46
3,300,47
3,300,50
3,300,47
3,300,50
3,300,50
3,300,49
3,300,50
3,300,47
3,300,50
3,300,48
3,300,50
3,300,45
3,300,49
3,300,43
3,300,50
4,195,50
4,223,50
4,170,50
4,218,50
4,243,50
4,233,49
4,216,50
4,257,47
4,236,49
4,244,50
4,219,50
4,205,47
4,225,50
4,238,47
4,214,40
4,258,50
4,237,44
4,249,50
4,232,48
4,233,50
4,259,48
4,194,46
4,244,47
4,208,50
4,210,47
4,217,50
4,244,50
4,202,50
4,224,47
4,225,50
4,224,47
4,243,47
4,237,50
4,257,50
4,232,50
4,235,50
4,202,50
4,244,50
4,232,50
4,213,50
4,229,48
4,237,50
4,220,50
4,237,50
4,219,50
4,255,50
4,218,47
4,243,50
4,232,50
4,257,50
5,122,50
5,124,50
5,134,50
5,87,50
5,150,50
5,106,50
5,113,50
5,100,50
5,115,50
5,76,48
5,108,50
5,73,50
5,79,50
5,128,50
5,62,50
5,74,50
5,125,50
5,126,50
5,131,50
5,80,46
5,137,49
5,106,48
5,127,47
5,71,50
5,88,50
5,131,50
5,116,50
5,139,50
5,130,50
5,89,50
5,136,50
5,70,50
5,144,50
5,44,50
5,110,50
5,80,47
5,136,50
5,126,50
5,118,50
5,114,50
5,73,50
5,131,50
5,150,50
5,104,50
5,133,50
5,103,50
5,110,50
5,109,50
5,113,50
5,132,50
6,1,50
6,37,50
6,28,50
6,40,50
6,44,50
6,42,50
6,68,42
6,64,50
6,52,49
6,8,50
6,64,50
6,14,50
6,5,49
6,54,50
6,71,50
6,70,50
6,34,50
6,83,50
6,74,49
6,75,50
6,58,50
6,45,50
6,73,50
6,51,50
6,58,50
6,59,50
6,49,50
6,34,50
6,43,50
6,19,50
6,30,50
6,39,50
6,54,50
6,59,50
6,64,50
6,21,50
6,59,50
6,67,50
6,21,49
6,27,50
6,41,49
6,39,50
6,52,50
6,45,50
6,28,50
6,67,50
6,64,50
6,65,50
6,36,50
6,61,50
7,2,50
7,1,50
7,5,50
7,2,49
7,7,50
7,25,50
7,11,50
7,2,50
7,10,50
7,1,50
7,24,50
7,8,50
7,16,50
7,2,50
7,14,50
7,21,50
7,49,50
7,21,50
7,4,43
7,5,49
7,17,50
7,3,50
7,14,50
7,29,50
7,9,50
7,35,50
7,5,50
7,8,50
7,22,50
7,1,48
7,27,50
7,17,50
7,7,50
7,8,40
7,5,48
7,33,50
7,13,49
7,2,47
7,28,50
7,42,50
7,21,50
7,6,50
7,22,50
7,1,27
7,42,50
7,18,50
7,27,50
7,16,50
7,32,50
7,13,50
